payer_name,cpt_code,allowed_amount,modifier,place_of_service,effective_date,notes
,,,,,,
Wellmark Iowa,99214,155.8,95,10,4/6/26,Est patient E/M moderate complexity
Wellmark Iowa,99215,,,10,4/6/26,Est patient E/M high complexity
Wellmark Iowa,90833,77.2,95,10,4/6/26,Add-on psychotherapy 30 min with E/M
Wellmark Iowa,90836,,,10,4/6/26,Add-on psychotherapy 45 min with E/M
Wellmark Iowa,90838,,,10,4/6/26,Add-on psychotherapy 60 min with E/M
Wellmark Iowa,99204,,,10,4/6/26,New patient E/M mod-high complexity
Wellmark Iowa,99205,,,10,4/6/26,New patient E/M high complexity
Wellmark Iowa,90785,,,10,4/6/26,Interactive Complexity
Wellmark Iowa,98002,,,10,4/6/26,"Telehealth E/M new pt, moderate MDM, 45 min"
Wellmark Iowa,98003,,,10,4/6/26,"Telehealth E/M new pt, high MDM, 60 min"
Wellmark Iowa,98006,,,10,4/6/26,"Telehealth E/M est pt, moderate MDM, 30 min"
Wellmark Iowa,98007,,,10,4/6/26,"Telehealth E/M est pt, high MDM, 40 min"
,,,,,,
BCBS - Massachusetts,99214,,,10,4/6/26,Est patient E/M moderate complexity
BCBS - Massachusetts,99215,,,10,4/6/26,Est patient E/M high complexity
BCBS - Massachusetts,90833,,,10,4/6/26,Add-on psychotherapy 30 min with E/M
BCBS - Massachusetts,90836,,,10,4/6/26,Add-on psychotherapy 45 min with E/M
BCBS - Massachusetts,90838,,,10,4/6/26,Add-on psychotherapy 60 min with E/M
BCBS - Massachusetts,99204,,,10,4/6/26,New patient E/M mod-high complexity
BCBS - Massachusetts,99205,,,10,4/6/26,New patient E/M high complexity
BCBS - Massachusetts,90785,,,10,4/6/26,Interactive Complexity
BCBS - Massachusetts,98002,,,10,4/6/26,"Telehealth E/M new pt, moderate MDM, 45 min"
BCBS - Massachusetts,98003,,,10,4/6/26,"Telehealth E/M new pt, high MDM, 60 min"
BCBS - Massachusetts,98006,,,10,4/6/26,"Telehealth E/M est pt, moderate MDM, 30 min"
BCBS - Massachusetts,98007,,,10,4/6/26,"Telehealth E/M est pt, high MDM, 40 min"
